
ResponseTime(ms),ResponseDateTime,Stimulus,TargetStatus,ParticipantResponse,ReactionTime(ms),ResponseClassification
63879199599445,4/2/2025 2:06:39 PM,K,No,Yes,935.46,False Alarm
63879199602552,4/2/2025 2:06:42 PM,D,No,No,1531.27,Correct Rejection
63879199605562,4/2/2025 2:06:45 PM,G,No,No,2033.88,Correct Rejection
63879199608560,4/2/2025 2:06:48 PM,G,No,No,26.49,Correct Rejection
63879199611564,4/2/2025 2:06:51 PM,T,No,No,521.64,Correct Rejection
63879199614566,4/2/2025 2:06:54 PM,D,No,No,1015.75,Correct Rejection
63879199617056,4/2/2025 2:06:57 PM,D,Yes,Yes,1000.06,Hit
63879199620267,4/2/2025 2:07:00 PM,D,Yes,No,1710.28,Miss
63879199623278,4/2/2025 2:07:03 PM,G,No,No,2208.08,Correct Rejection
63879199626064,4/2/2025 2:07:06 PM,K,No,Yes,2482.19,False Alarm
63879199627242,4/2/2025 2:07:07 PM,G,No,Yes,1156.91,False Alarm
63879199630387,4/2/2025 2:07:10 PM,G,Yes,No,1801.35,Miss
63879199633389,4/2/2025 2:07:13 PM,K,No,No,2301.38,Correct Rejection
63879199636399,4/2/2025 2:07:16 PM,G,No,No,307.42,Correct Rejection
63879199639415,4/2/2025 2:07:19 PM,T,No,No,819.29,Correct Rejection
63879199642425,4/2/2025 2:07:22 PM,K,No,No,1328.95,Correct Rejection
63879199645434,4/2/2025 2:07:25 PM,T,No,No,1831.01,Correct Rejection
63879199648438,4/2/2025 2:07:28 PM,K,No,No,2336.50,Correct Rejection
63879199651438,4/2/2025 2:07:31 PM,T,No,No,322.36,Correct Rejection
63879199654457,4/2/2025 2:07:34 PM,D,No,No,833.01,Correct Rejection
63879199657459,4/2/2025 2:07:37 PM,K,No,No,1322.65,Correct Rejection
63879199660468,4/2/2025 2:07:40 PM,D,No,No,1830.73,Correct Rejection
63879199663472,4/2/2025 2:07:43 PM,K,No,No,2327.53,Correct Rejection
63879199666476,4/2/2025 2:07:46 PM,D,No,No,318.97,Correct Rejection
63879199669485,4/2/2025 2:07:49 PM,T,No,No,818.12,Correct Rejection
63879199672491,4/2/2025 2:07:52 PM,K,No,No,1321.44,Correct Rejection
63879199675500,4/2/2025 2:07:55 PM,G,No,No,1824.51,Correct Rejection
63879199678505,4/2/2025 2:07:58 PM,D,No,No,2321.21,Correct Rejection
63879199681512,4/2/2025 2:08:01 PM,K,No,No,299.77,Correct Rejection
63879199682293,4/2/2025 2:08:02 PM,K,No,Yes,1080.57,False Alarm
63879199684490,4/2/2025 2:08:04 PM,K,Yes,Yes,772.81,Hit
63879199687723,4/2/2025 2:08:07 PM,G,No,No,1499.97,Correct Rejection
63879199690568,4/2/2025 2:08:10 PM,G,Yes,Yes,1834.66,Hit
63879199693733,4/2/2025 2:08:13 PM,K,No,No,2500.44,Correct Rejection
63879199696746,4/2/2025 2:08:16 PM,G,No,No,503.92,Correct Rejection
63879199699753,4/2/2025 2:08:19 PM,D,No,No,1010.13,Correct Rejection
63879199699822,4/2/2025 2:08:19 PM,D,No,Yes,1078.40,False Alarm
63879199702994,4/2/2025 2:08:22 PM,G,No,No,1749.94,Correct Rejection
63879199705999,4/2/2025 2:08:25 PM,K,No,No,2253.53,Correct Rejection
63879199709002,4/2/2025 2:08:29 PM,D,No,No,245.97,Correct Rejection
63879199712012,4/2/2025 2:08:32 PM,G,No,No,742.40,Correct Rejection
63879199712268,4/2/2025 2:08:32 PM,G,No,Yes,998.17,False Alarm
63879199714924,4/2/2025 2:08:34 PM,T,No,Yes,1145.48,False Alarm
63879199718058,4/2/2025 2:08:38 PM,G,No,Yes,1778.08,False Alarm
63879199719846,4/2/2025 2:08:39 PM,G,Yes,Yes,1067.41,Hit
63879199723002,4/2/2025 2:08:43 PM,D,No,No,1720.43,Correct Rejection
63879199726012,4/2/2025 2:08:46 PM,T,No,No,2222.53,Correct Rejection
63879199729023,4/2/2025 2:08:49 PM,K,No,No,221.54,Correct Rejection
63879199729878,4/2/2025 2:08:49 PM,K,No,Yes,1077.12,False Alarm
63879199733011,4/2/2025 2:08:53 PM,T,No,No,1699.74,Correct Rejection
63879199734657,4/2/2025 2:08:54 PM,D,No,Yes,843.93,False Alarm
63879199737824,4/2/2025 2:08:57 PM,G,No,No,1510.22,Correct Rejection
63879199740834,4/2/2025 2:09:00 PM,G,Yes,No,2017.12,Miss
63879199743838,4/2/2025 2:09:03 PM,D,Yes,No,10.99,Miss
63879199746846,4/2/2025 2:09:06 PM,G,No,No,510.19,Correct Rejection
63879199749846,4/2/2025 2:09:09 PM,D,No,No,1008.03,Correct Rejection
63879199750814,4/2/2025 2:09:10 PM,D,No,Yes,1975.95,False Alarm
63879199752896,4/2/2025 2:09:12 PM,K,No,Yes,1548.80,False Alarm
63879199756625,4/2/2025 2:09:16 PM,T,No,No,256.16,Correct Rejection
63879199759627,4/2/2025 2:09:19 PM,D,No,No,747.50,Correct Rejection
63879199762634,4/2/2025 2:09:22 PM,D,Yes,No,1243.99,Miss
63879199765635,4/2/2025 2:09:25 PM,G,No,No,1734.25,Correct Rejection
63879199765946,4/2/2025 2:09:25 PM,G,No,Yes,2044.68,False Alarm
63879199769089,4/2/2025 2:09:29 PM,T,Yes,No,182.34,Miss
63879199772095,4/2/2025 2:09:32 PM,D,No,No,681.88,Correct Rejection
63879199775102,4/2/2025 2:09:35 PM,K,No,No,1188.11,Correct Rejection
63879199778113,4/2/2025 2:09:38 PM,G,No,No,1687.81,Correct Rejection
63879199781124,4/2/2025 2:09:41 PM,T,No,No,2187.62,Correct Rejection
63879199784134,4/2/2025 2:09:44 PM,G,No,No,197.88,Correct Rejection
63879199785402,4/2/2025 2:09:45 PM,G,No,Yes,1465.03,False Alarm
63879199788510,4/2/2025 2:09:48 PM,T,No,No,2062.50,Correct Rejection
63879199791510,4/2/2025 2:09:51 PM,K,No,No,58.53,Correct Rejection
63879199794520,4/2/2025 2:09:54 PM,T,No,No,555.54,Correct Rejection
63879199797526,4/2/2025 2:09:57 PM,D,No,No,1040.62,Correct Rejection
63879199800529,4/2/2025 2:10:00 PM,T,No,No,1539.64,Correct Rejection
63879199800719,4/2/2025 2:10:00 PM,T,No,Yes,1729.34,False Alarm
63879199802463,4/2/2025 2:10:02 PM,G,No,Yes,966.52,False Alarm
63879199805596,4/2/2025 2:10:05 PM,G,Yes,No,1593.93,Miss
63879199808603,4/2/2025 2:10:08 PM,D,No,No,2095.28,Correct Rejection
63879199811606,4/2/2025 2:10:11 PM,G,Yes,No,84.99,Miss
63879199811617,4/2/2025 2:10:11 PM,G,Yes,Yes,97.66,Hit
63879199812415,4/2/2025 2:10:12 PM,G,Yes,Yes,893.49,Hit
63879199815570,4/2/2025 2:10:15 PM,K,No,No,1545.04,Correct Rejection
63879199818583,4/2/2025 2:10:18 PM,T,No,No,2056.52,Correct Rejection
63879199819868,4/2/2025 2:10:19 PM,G,No,Yes,833.31,False Alarm
63879199823003,4/2/2025 2:10:23 PM,K,No,No,1455.29,Correct Rejection
63879199826013,4/2/2025 2:10:26 PM,G,No,No,1964.51,Correct Rejection
63879199829015,4/2/2025 2:10:29 PM,D,No,No,2444.70,Correct Rejection
63879199830813,4/2/2025 2:10:30 PM,K,No,Yes,1738.22,False Alarm
63879199833923,4/2/2025 2:10:33 PM,G,No,No,2347.47,Correct Rejection
63879199836926,4/2/2025 2:10:36 PM,K,Yes,No,324.52,Miss
63879199837469,4/2/2025 2:10:37 PM,K,Yes,Yes,866.82,Hit
63879199840015,4/2/2025 2:10:40 PM,K,Yes,Yes,913.21,Hit
63879199842758,4/2/2025 2:10:42 PM,T,No,Yes,1155.64,False Alarm
63879199845921,4/2/2025 2:10:45 PM,K,No,No,1816.83,Correct Rejection
63879199848925,4/2/2025 2:10:48 PM,G,No,No,2317.96,Correct Rejection
63879199851930,4/2/2025 2:10:51 PM,G,No,No,313.78,Correct Rejection
63879199854932,4/2/2025 2:10:54 PM,G,Yes,No,813.45,Miss
63879199857936,4/2/2025 2:10:57 PM,G,Yes,No,1310.82,Miss
63879199860937,4/2/2025 2:11:00 PM,T,No,No,1805.60,Correct Rejection
63879199863949,4/2/2025 2:11:03 PM,T,Yes,No,2302.86,Miss
63879199866957,4/2/2025 2:11:06 PM,K,No,No,297.36,Correct Rejection
63879199868760,4/2/2025 2:11:08 PM,K,No,Yes,2100.22,False Alarm
63879200328212,4/2/2025 2:18:48 PM,D,No,No,498.25,Correct Rejection
63879200331224,4/2/2025 2:18:51 PM,D,Yes,No,1002.98,Miss
63879200334224,4/2/2025 2:18:54 PM,T,No,No,1492.96,Correct Rejection
63879200337234,4/2/2025 2:18:57 PM,G,No,No,2000.07,Correct Rejection
63879200340235,4/2/2025 2:19:00 PM,G,Yes,No,2500.04,Miss
63879200343235,4/2/2025 2:19:03 PM,K,No,No,498.88,Correct Rejection
63879200346236,4/2/2025 2:19:06 PM,G,No,No,990.22,Correct Rejection
63879200349245,4/2/2025 2:19:09 PM,K,No,No,1500.18,Correct Rejection
63879200352256,4/2/2025 2:19:12 PM,D,No,No,1998.44,Correct Rejection
63879200355256,4/2/2025 2:19:15 PM,K,No,No,2489.09,Correct Rejection
63879200358257,4/2/2025 2:19:18 PM,G,No,No,478.35,Correct Rejection
63879200361258,4/2/2025 2:19:21 PM,D,No,No,979.02,Correct Rejection
63879200364263,4/2/2025 2:19:24 PM,K,No,No,1483.07,Correct Rejection
63879200367275,4/2/2025 2:19:27 PM,D,No,No,1992.22,Correct Rejection
63879200370277,4/2/2025 2:19:30 PM,G,No,No,2486.61,Correct Rejection
63879200373283,4/2/2025 2:19:33 PM,T,No,No,470.02,Correct Rejection
63879200376288,4/2/2025 2:19:36 PM,T,Yes,No,961.98,Miss
63879200379297,4/2/2025 2:19:39 PM,D,No,No,1467.08,Correct Rejection
63879200382307,4/2/2025 2:19:42 PM,T,No,No,1975.12,Correct Rejection
63879200385309,4/2/2025 2:19:45 PM,K,No,No,2471.15,Correct Rejection
63879200388321,4/2/2025 2:19:48 PM,G,Yes,No,469.16,Miss
63879200391324,4/2/2025 2:19:51 PM,K,No,No,967.87,Correct Rejection
63879200394324,4/2/2025 2:19:54 PM,D,No,No,1465.72,Correct Rejection
63879200396457,4/2/2025 2:19:56 PM,D,Yes,Yes,1088.54,Hit
63879200398836,4/2/2025 2:19:58 PM,G,No,Yes,955.75,False Alarm
63879200401313,4/2/2025 2:20:01 PM,G,Yes,Yes,922.74,Hit
63879200403924,4/2/2025 2:20:03 PM,D,No,Yes,1032.65,False Alarm
63879200407058,4/2/2025 2:20:07 PM,T,No,No,1656.44,Correct Rejection
63879200410059,4/2/2025 2:20:10 PM,D,No,No,2156.06,Correct Rejection
63879200411817,4/2/2025 2:20:11 PM,T,No,Yes,1412.60,False Alarm
63879200414949,4/2/2025 2:20:14 PM,K,No,No,2033.73,Correct Rejection
63879200417081,4/2/2025 2:20:17 PM,T,No,Yes,1660.48,False Alarm
63879200420251,4/2/2025 2:20:20 PM,T,Yes,No,2325.54,Miss
63879200423259,4/2/2025 2:20:23 PM,K,No,No,325.07,Correct Rejection
63879200423858,4/2/2025 2:20:23 PM,K,No,Yes,923.52,False Alarm
63879200426412,4/2/2025 2:20:26 PM,K,Yes,Yes,965.01,Hit
63879200429628,4/2/2025 2:20:29 PM,G,No,No,1673.21,Correct Rejection
63879200431464,4/2/2025 2:20:31 PM,G,Yes,Yes,1003.96,Hit
63879200434214,4/2/2025 2:20:34 PM,G,Yes,Yes,1251.18,Hit
63879200437400,4/2/2025 2:20:37 PM,K,No,No,1931.68,Correct Rejection
63879200439179,4/2/2025 2:20:39 PM,D,No,Yes,1199.78,False Alarm
63879200441437,4/2/2025 2:20:41 PM,D,Yes,Yes,954.93,Hit
63879200444035,4/2/2025 2:20:44 PM,G,No,Yes,1041.90,False Alarm
63879200447283,4/2/2025 2:20:47 PM,T,No,No,1777.37,Correct Rejection
63879200447592,4/2/2025 2:20:47 PM,T,No,Yes,2089.08,False Alarm
63879200450748,4/2/2025 2:20:50 PM,T,No,No,233.96,Correct Rejection
63879200453759,4/2/2025 2:20:53 PM,G,No,No,731.19,Correct Rejection
63879200456725,4/2/2025 2:20:56 PM,G,Yes,Yes,1187.93,Hit
63879200459381,4/2/2025 2:20:59 PM,G,Yes,Yes,1334.17,Hit
63879200462584,4/2/2025 2:21:02 PM,D,No,No,2036.84,Correct Rejection
63879200465592,4/2/2025 2:21:05 PM,K,Yes,No,33.02,Miss
63879200466814,4/2/2025 2:21:06 PM,K,Yes,Yes,1255.08,Hit
63879200470104,4/2/2025 2:21:10 PM,T,No,No,2044.53,Correct Rejection
63879200470173,4/2/2025 2:21:10 PM,T,No,Yes,2113.97,False Alarm
63879200473470,4/2/2025 2:21:13 PM,G,Yes,No,397.98,Miss
63879200474268,4/2/2025 2:21:14 PM,G,Yes,Yes,1196.69,Hit
63879200477525,4/2/2025 2:21:17 PM,K,No,No,1945.04,Correct Rejection
63879200480525,4/2/2025 2:21:20 PM,D,No,No,2445.08,Correct Rejection
63879200483537,4/2/2025 2:21:23 PM,G,No,No,445.13,Correct Rejection
63879200485605,4/2/2025 2:21:25 PM,D,No,Yes,13.15,False Alarm
63879200488773,4/2/2025 2:21:28 PM,G,No,No,680.16,Correct Rejection
63879200489235,4/2/2025 2:21:29 PM,G,No,Yes,1143.30,False Alarm
63879200491605,4/2/2025 2:21:31 PM,T,No,Yes,1011.87,False Alarm
63879200494822,4/2/2025 2:21:34 PM,K,No,No,1718.99,Correct Rejection
63879200497825,4/2/2025 2:21:37 PM,K,Yes,No,2220.95,Miss
63879200497969,4/2/2025 2:21:37 PM,K,Yes,Yes,2363.94,Hit
63879200501169,4/2/2025 2:21:41 PM,D,No,No,542.57,Correct Rejection
63879200504171,4/2/2025 2:21:44 PM,K,No,No,1032.97,Correct Rejection
63879200504419,4/2/2025 2:21:44 PM,K,No,Yes,1281.22,False Alarm
63879200507670,4/2/2025 2:21:47 PM,G,No,No,2031.05,Correct Rejection
63879200509837,4/2/2025 2:21:49 PM,K,No,Yes,1689.64,False Alarm
63879200513042,4/2/2025 2:21:53 PM,D,No,No,2394.58,Correct Rejection
63879200513226,4/2/2025 2:21:53 PM,K,No,Yes,68.44,False Alarm
63879200516470,4/2/2025 2:21:56 PM,G,No,No,809.92,Correct Rejection
63879200516893,4/2/2025 2:21:56 PM,G,No,Yes,1233.51,False Alarm
63879200520093,4/2/2025 2:22:00 PM,D,No,No,1923.83,Correct Rejection
63879200523103,4/2/2025 2:22:03 PM,T,No,No,2433.06,Correct Rejection
63879200526104,4/2/2025 2:22:06 PM,T,No,No,423.07,Correct Rejection
63879200529104,4/2/2025 2:22:09 PM,K,No,No,912.02,Correct Rejection
63879200532115,4/2/2025 2:22:12 PM,D,No,No,1411.29,Correct Rejection
63879200535127,4/2/2025 2:22:15 PM,D,Yes,No,1923.33,Miss
63879200538137,4/2/2025 2:22:18 PM,D,Yes,No,2433.44,Miss
63879200541138,4/2/2025 2:22:21 PM,D,No,No,433.53,Correct Rejection
63879200542072,4/2/2025 2:22:22 PM,D,No,Yes,1366.78,False Alarm
63879200544395,4/2/2025 2:22:24 PM,K,No,Yes,1186.97,False Alarm
63879200547626,4/2/2025 2:22:27 PM,K,Yes,No,1910.40,Miss
63879200547673,4/2/2025 2:22:27 PM,K,Yes,Yes,1957.50,Hit
63879200550935,4/2/2025 2:22:30 PM,G,No,No,199.60,Correct Rejection
63879200551828,4/2/2025 2:22:31 PM,G,No,Yes,1092.80,False Alarm
63879200555027,4/2/2025 2:22:35 PM,D,No,No,1784.81,Correct Rejection
63879200558037,4/2/2025 2:22:38 PM,K,No,No,2288.48,Correct Rejection
63879200561042,4/2/2025 2:22:41 PM,K,Yes,No,278.67,Miss
63879200563240,4/2/2025 2:22:43 PM,K,Yes,Yes,2476.07,Hit
63879200565572,4/2/2025 2:22:45 PM,G,No,Yes,2298.87,False Alarm
63879200566540,4/2/2025 2:22:46 PM,G,Yes,Yes,754.49,Hit
63879200569460,4/2/2025 2:22:49 PM,G,Yes,Yes,795.11,Hit
63879200584874,4/2/2025 2:23:04 PM,G,Yes,No,1444.67,Miss
63879200587882,4/2/2025 2:23:07 PM,T,No,No,1943.27,Correct Rejection
63879200590970,4/2/2025 2:23:10 PM,D,No,No,2451.05,Correct Rejection
63879200591627,4/2/2025 2:23:11 PM,K,No,Yes,602.45,False Alarm
63879200594804,4/2/2025 2:23:14 PM,G,No,No,1277.62,Correct Rejection
63879200597806,4/2/2025 2:23:17 PM,G,Yes,No,1769.56,Miss
63879200599050,4/2/2025 2:23:19 PM,K,No,Yes,511.72,False Alarm
63879200602210,4/2/2025 2:23:22 PM,K,Yes,No,1158.36,Miss
63879200604626,4/2/2025 2:23:24 PM,T,No,Yes,1067.78,False Alarm
63879200606027,4/2/2025 2:23:26 PM,T,No,Yes,2468.11,False Alarm
63879200609156,4/2/2025 2:23:29 PM,D,No,No,589.26,Correct Rejection
63879200609969,4/2/2025 2:23:29 PM,D,No,Yes,1403.17,False Alarm
63879200613166,4/2/2025 2:23:33 PM,G,No,No,2093.75,Correct Rejection
63879200616173,4/2/2025 2:23:36 PM,K,No,No,83.92,Correct Rejection
63879200616296,4/2/2025 2:23:36 PM,K,No,Yes,203.13,False Alarm
63879200619538,4/2/2025 2:23:39 PM,T,No,No,946.26,Correct Rejection
63879200622546,4/2/2025 2:23:42 PM,G,No,No,1453.86,Correct Rejection
63879200625552,4/2/2025 2:23:45 PM,K,No,No,1949.19,Correct Rejection
63879200628562,4/2/2025 2:23:48 PM,K,Yes,No,2456.45,Miss
